company_name,job_title,job_type,Department,Location,Posted_Time,Salary_range
JV Management Consulting Limited,𝗣𝗿𝗼𝗱𝘂𝗰𝘁𝗶𝗼𝗻 𝗟𝗲𝗮𝗱 (TV Station),Community & Social Services,Community & Social Services,Lagos,1 month ,"NGN 150,000 - 250,000"
Platinum Key Realty LTD,Sales Closer,Sales,Sales,Remote (Work From Home),1 month ,"NGN 150,000 - 250,000"
Presidera,Social Media Manager,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
Platinum Key Realty LTD,Marketing Content Manager,Creative & Design,Creative & Design,Remote (Work From Home),1 month ,"NGN 150,000 - 250,000"
D & D Wine Gallery Ltd,Marketing Executive,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
The Dome Entertainment Limited,Head of Marketing & Partnership,Marketing & Communications,Marketing & Communications,Abuja,1 month ,"NGN 400,000 - 600,000"
D & D Wine Gallery Ltd,Independent Sales Agent,Sales,Sales,Lagos,1 month ,"NGN 70,000 - 150,000"
Devon Pharmaceuticals Co. Ltd,Sales Representative,Medical & Pharmaceutical,Medical & Pharmaceutical,Lagos,1 month ,"NGN 70,000 - 150,000"
Riltouche Lifestyle Car Wash,Digital Marketing & Social Media Manager,Marketing & Communications,Marketing & Communications,Abeokuta & Ogun State,1 month ,"NGN 150,000 - 250,000"
PC Recruit Nigeria,Accountant,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Lagos,1 month ,"NGN 400,000 - 600,000"
Perona Beauty,Male Store Assistant/ Sales Associate,Sales,Sales,Ibadan & Oyo State,1 month ,"NGN 70,000 - 150,000"
Flexile Investments and Technologies Limited,Marketer,Marketing & Communications,Marketing & Communications,Ibadan & Oyo State,1 month ,"NGN 150,000 - 250,000"
Precious Pharmacy and Stores (Nig) Ltd.,Account Officer,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Abeokuta & Ogun State,1 month ,"NGN 70,000 - 150,000"
AP Luxury Inn,Security guard,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
99 by Mozilla Apartments,Front Desk Agent,Customer Service & Support,Customer Service & Support,Abuja,1 month ,"NGN 70,000 - 150,000"
Raphael Group,Virtual Assistant,Admin & Office,Admin & Office,Remote (Work From Home),1 month ,"NGN 70,000 - 150,000"
Triple Seven Consults,Media Production Assistant,Creative & Design,Creative & Design,Abuja,1 month ,"NGN 150,000 - 250,000"
Lux D’essence Company Limited,Sales Representative,Trades & Services,Trades & Services,Lagos,1 month ,"NGN 70,000 - 150,000"
Hospitality Recruitment and Placement Services,Corporate Driver,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
JAM-Forte Technologies Ltd,Project Manager,Product & Project Management,Product & Project Management,Abuja,1 month ,"NGN 70,000 - 150,000"
Cyber Informers System Limited,Personal Assistant,Quality Control & Assurance,Quality Control & Assurance,Lagos,1 month ,"NGN 70,000 - 150,000"
Kenex Konsults International,Hospital Administrator,Admin & Office,Admin & Office,Port Harcourt & Rivers State,1 month ,"NGN 70,000 - 150,000"
Castville Solutions,Supply Chain Manager,Supply Chain & Procurement,Supply Chain & Procurement,Lagos,1 month ,"NGN 400,000 - 600,000"
Castville Solutions,Finance Manager,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Lagos,1 month ,"NGN 400,000 - 600,000"
Pinconsult Associates Limited,Civil/ Structural Engineer,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 150,000 - 250,000"
Stretch-it Concepts Limited,Pharmacist,Medical & Pharmaceutical,Medical & Pharmaceutical,Lagos,1 month ,"NGN 70,000 - 150,000"
CoreXpert HR Consulting,Senior Structural Engineer,Building & Architecture,Building & Architecture,Lagos,1 month ,"NGN 400,000 - 600,000"
Jijedapt Human Resources Consult Ltd,Administrative Manager,Engineering & Technology,Engineering & Technology,Rest of Nigeria (Ondo),1 month ,"NGN 250,000 - 400,000"
Sigma Coatings Nigeria Limited,Senior Finance Manager,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Lagos,1 month ,"NGN 1,200,000 - 1,500,000"
Castel Resources,Brand Executive/Marketing Executive,Marketing & Communications,Marketing & Communications,Port Harcourt & Rivers State,1 month ,"NGN 150,000 - 250,000"
Wincan Solar Technology Nigeria Limited,Solar Installer,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 250,000 - 400,000"
Hospitality Recruitment and Placement Services,Customer Care Representative,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
Hospitality Recruitment and Placement Services,Financial Accountant,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 150,000 - 250,000"
Hospitality Recruitment and Placement Services,Receptionist,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
Geniserve Limited,Civil Engineer,Engineering & Technology,Engineering & Technology,Lagos,1 month ,"NGN 400,000 - 600,000"
Hospitality Recruitment and Placement Services,Executive Assistant,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 70,000 - 150,000"
The Pearl Foundation,Procurement Officer (Volunteer),Supply Chain & Procurement,Supply Chain & Procurement,Lagos,1 month ,"NGN 10,000 - 12,000"
The Pearl Foundation,Assistant Communications Officer (Volunteer Role),Marketing & Communications,Marketing & Communications,Lagos,1 month ,NGN Less than 100
Powerchina Huadong Nigeria Ltd,Drilling Machine Operator,Engineering & Technology,Engineering & Technology,Abuja,1 month ,"NGN 70,000 - 150,000"
African Import Export Solutions,Sales Executive,Sales,Sales,Port Harcourt & Rivers State,1 month ,"NGN 70,000 - 150,000"
Evans Industries Limited,Business Development Manager,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 400,000 - 600,000"
Empower Careers,Social Media Manager/Content Creator,Marketing & Communications,Marketing & Communications,Lagos,1 month ,"NGN 70,000 - 150,000"
Empower Careers,Massage Therapist,Hospitality & Leisure,Hospitality & Leisure,Lagos,1 month ,"NGN 150,000 - 250,000"
StreSERT Integrated Limited (SIL),Head of Financial Services/Treasury,"Accounting, Auditing & Finance","Accounting, Auditing & Finance",Lagos,1 month ,"NGN 600,000 - 900,000"
The Advancement Place,Marketer,Trades & Services,Trades & Services,Abuja,1 month ,"NGN 70,000 - 150,000"
Empower Careers,Operations Officer,Consulting & Strategy,Consulting & Strategy,Lagos,1 month ,"NGN 150,000 - 250,000"
Zhongxin Network Technology Co. Ltd,Sales Representative,Sales,Sales,Abeokuta & Ogun State,1 month ,"NGN 70,000 - 150,000"
